Наименование предмета,Уровень,Класс,Характеристики/Описание,Иконки
HealPack-3000,30,Медик,"Основной стат +75
Хп +650
Защита +6
Радиус +200
Регенерация мп +0,35
Устойчивость к магии +0,1
Удача +4
(Пассив): Автохил союзника на 1400 раз в 8 сек.
(Актив): Восстановить 2200 хп в АОЕ. кд 15 сек
|cffff0000Доступен с 30 уровня|r
|cffff0000Только для Медик|r
|cffff0000Не более 1|r",
Тех-Протез,30,Инженер,"Основной стат +75
Скорость атаки +0,4
Защита +4
Радиус +200
Скорость бега +40
Аура Регенерация техники +1 и Атаки техники +50%
Удача +6
(Пассив): Добыча руды +1
(Актив): Призыв Ылитного Дирижабля
|cffff0000Доступен с 30 уровня|r
|cffff0000Только для Инженер|r
|cffff0000Не более 1|r",
Бумер,30,Подрывник,"Основной стат +75
Мп +20
Защита +7
Радиус +200
Регенерация мп +0,15
Увеличение маг. урона +0,1
Удача +2
(Пассив): Каждый каст скилла дает стак на 3 сек(каждый стак имеет свое время, а не обновляется). Кажлый каст спелла дает (стак х 1) маны.
|cffff0000Доступен с 30 уровня|r
|cffff0000Только для Подрывник|r
|cffff0000Не более 1|r",
Mr. Пламень,30,Пироманьяк,"Основной стат +75
Мп +10
Скорость атаки +0,2
Защита +3
Радиус +200
Удача +2
(Пассив): При каждой атаке получает стак на 5 сек. Получение стака обновляет время действия. Каждый стак увеличивает скорость атаки на 0.03 и кап ас на 0.01 вплоть до 20 стаков. Также при атаке 5% шанс восполнить 100 хп и 10 маны
|cffff0000Доступен с 30 уровня|r
|cffff0000Только для Пироманьяк|r
|cffff0000Не более 1|r",
Большой Сэм,30,Ракетчик,"Ловкость +30
Основной стат +75
Атака +160
Скорость атаки +0,4
Защита +6
Радиус +200
Сопротивление к физ. урону +0,1
Удача +2
|cffff0000Доступен с 30 уровня|r
|cffff0000Только для Ракетчик|r
|cffff0000Не более 1|r",
Книга Времени (4й том),40,,"Основной стат +75
|cffff0000Доступен с 40 уровня|r
",
Аккумуляторная кислота,,,,
Ториевый обломок генератора,,,,
Кусок ториевой гусеницы,,,,
Заржавевший арканитовый ковш,,,,BTNINV_EmptyBucket.BLP
Патронташ,40,"Пулеметчик, Снайпер","Основной стат +75
|cffff0000Доступен с 40 уровня|r
|cffff0000Только для Пулеметчик, Снайпер|r
",BTNHeroes_III_Art_101.blp
Армированная пластина,40,Сталкер,"Основной стат +75
|cffff0000Доступен с 40 уровня|r
|cffff0000Только для Сталкер|r
",BTNHoly Librum.blp
Тангенциальный вращатель,40,Инженер,"Основной стат +75
|cffff0000Доступен с 40 уровня|r
|cffff0000Только для Инженер|r
",BTNIndustrialTools.blp
Топливный бак,40,Пироманьяк,"Основной стат +75
|cffff0000Доступен с 40 уровня|r
|cffff0000Только для Пироманьяк|r
",BTNNuclear.blp
Магическое ультра-горючее,35,,"|cffff0000Доступен с 35 уровня|r
",
Ториевый нейро-генератор,35,,"|cffff0000Доступен с 35 уровня|r
",
Доспех из ториевой гусеницы,35,,"|cffff0000Доступен с 35 уровня|r
",
Арканитовый ковш-шлем,35,,"|cffff0000Доступен с 35 уровня|r
",BTNBrutal Helmet.blp
Ториевая циркулярная пила,35,,"Сила +75
Разум +75
Сопротивление к физ. урону +0,05
Аура -5% защиты  противникам в радиусе 250
(Актив): Наносит (Основной Стат х40) физ урона противникам в радиусе 250 вокруг себя. Кд 20 сек
|cffff0000Доступен с 35 уровня|r
|cffff0000Не более 1|r",
Экзоскелет КУС-500rmk,40,,"Все статы +100
Хп +550
(Актив): Активирует экзоскелет позволяя превратиться в форму трактора на 15 сек. Пока форма активна, дает +20% мр, +15 защиты, +1 скорости атаки, но снижает скорость передвижения на 150. Кд 60 сек
|cffff0000Доступен с 40 уровня|r
|cffff0000Не более 1|r",
Талисман конструктора,35,,"Все статы +60
Регенерация хп +60
Сопротивление урону +0,04
Блокирование 50
Удача +2
(Актив): Строит неуязвимый маячек на полу. Если маячек уже стоит, то уничтожает его и телепортирует владельца на его местоположение
|cffff0000Доступен с 35 уровня|r
|cffff0000Не более 1|r",BTNINV_Misc_PocketWatch_01.blp
Реликварий Арахнидов(4),40,,"Основной стат +75
Хп +1450
|cffff0000Доступен с 40 уровня|r
|cffff0000Не более 1|r",
Реликварий Рабовладельца(4),40,,"Атака +525
Скорость атаки +0,6
(Пассив): Уменьшает базовый интервал атак на 0.15
|cffff0000Доступен с 40 уровня|r
|cffff0000Не более 1|r",BTNKoboldSlaveMaster.blp
Реликварий Стража(4),40,,"Мп +30
Регенерация мп +0,65
|cffff0000Доступен с 40 уровня|r
|cffff0000Не более 1|r",
Реликварий Трактора(4),40,,"Защита +15
Устойчивость к магии +0,2
Скорость бега -30
|cffff0000Доступен с 40 уровня|r
|cffff0000Не более 1|r",
Кислотная граната,35,,"Разум +75
Увеличение маг. урона +0,05
(Актив): Бросает в точку гранату, которая наносит (Основной Стат х40) маг урона противникам в радиусе 250, а также снимает 10 защиты всем юнитам (включая союзным) в области действия на 10 сек. При попадании по уязвимой постройке, наносит ей (50% от ее Макс ХП) урона. Кд 30 сек
|cffff0000Доступен с 35 уровня|r
|cffff0000Не более 1|r",
Хим-костюм,40,,"Основной стат +75
Радиус -150
Устойчивость к магии +0,15
|cffff0000Доступен с 40 уровня|r
|cffff0000Не более 1|r",
Гусеничные сапоги,40,,"Ловкость +60
Основной стат +60
Хп +450
Атака +225
Крит Шанс +0,05
Скорость бега +20
Удача +1
|cffff0000Доступен с 40 уровня|r
|cffff0000Не более 1|r",
